"계정코드별",2025.01,2025.02,2025.03,2025.04,2025.05,2025.06
"총지수",120.27,120.33,120.36,120.14,119.64,119.77
"농림수산품",118.90,119.34,119.91,118.17,112.95,113.67
"농림수산품",118.90,119.34,119.91,118.17,112.95,113.67
"농산물",119.63,123.95,123.20,116.10,104.43,106.00
"곡물및식량작물",96.09,97.41,97.58,98.16,98.77,101.24
"곡류",96.49,97.70,99.26,99.87,100.52,103.85
"콩류",105.18,105.26,105.97,105.93,105.89,105.28
"감자류",88.42,91.33,81.11,81.88,82.56,80.79
"채소및과실",136.01,142.67,141.37,128.80,107.54,108.94
"채소",130.38,133.46,132.00,114.17,87.79,88.40
"과실",151.95,168.26,167.35,168.73,161.05,164.52
"기타작물",115.52,116.65,115.93,114.28,116.51,115.95
"화훼작물",139.20,161.82,140.40,131.36,129.97,112.85
"약용작물",104.77,102.19,104.53,103.56,106.62,108.36
"잎담배",109.97,112.49,112.49,112.49,112.49,112.49
"기타식용작물",121.83,121.31,122.85,122.78,125.11,126.74
"축산물",120.99,115.64,117.68,123.27,124.49,127.45
"낙농및육류",118.78,113.95,115.42,120.20,121.04,123.69
"낙농",116.00,116.03,116.17,116.22,116.23,116.04
"도축육",107.89,101.62,103.04,108.25,108.94,114.61
"가금육",152.54,151.34,153.58,158.70,160.59,152.26
"기타축산",141.54,131.36,138.72,151.81,156.55,162.43
"기타축산",141.54,131.36,138.72,151.81,156.55,162.43
"임산물",117.65,119.64,120.27,111.81,117.27,115.72
"임산물",117.65,119.64,120.27,111.81,117.27,115.72
"원목",103.45,103.45,103.45,103.41,103.41,103.41
"식용임산물",126.93,130.24,131.30,117.24,126.34,123.74
"수산물",117.43,118.60,119.88,118.99,117.32,111.55
"신선수산물",117.13,119.29,120.50,119.50,118.09,109.06
"신선어류",127.35,124.95,119.97,120.46,117.23,119.72
"신선갑각류",94.68,91.78,105.40,99.63,107.94,103.22
"신선패류",103.58,103.41,94.51,89.39,88.18,86.04
"신선연체류",111.34,134.16,160.88,160.88,160.88,102.53
"냉동건조수산물",123.21,122.48,123.96,123.28,120.97,121.42
"냉동수산물",108.55,110.81,110.54,107.51,105.36,106.32
"건조수산물",150.36,145.57,149.49,151.91,149.27,149.04
"광산품",130.10,130.35,130.26,129.20,129.13,128.14
"광산품",130.10,130.35,130.26,129.20,129.13,128.14
"석탄,원유및천연가스",129.97,129.97,129.97,129.97,129.97,129.97
"석탄",99.79,99.79,99.79,99.79,99.79,99.79
"무연탄",99.79,99.79,99.79,99.79,99.79,99.79
"금속및비금속광물",129.19,129.45,129.36,128.25,128.17,127.15
"비금속광물",129.19,129.45,129.36,128.25,128.17,127.15
"골재및석재",111.81,111.71,111.71,109.68,109.68,109.68
"석회석",125.56,125.56,125.56,125.56,125.56,125.56
"기타비금속광물",217.77,222.73,221.38,225.00,223.82,208.38
"공산품",124.24,124.30,124.33,123.77,123.00,123.02
"음식료품",122.76,123.18,123.90,123.92,124.87,125.05
"식료품",124.59,125.13,125.98,125.87,126.79,126.98
"육가공품및낙농품",120.11,121.14,122.07,120.64,122.30,121.66
"육가공품",120.14,120.68,122.15,117.23,118.49,116.91
"낙농품",121.27,122.63,123.23,124.13,126.05,126.05
"수산가공품",126.39,126.26,126.41,127.43,128.56,129.19
"수산물가공품",128.97,128.76,129.01,129.79,130.81,131.37
"수산동물저장품",109.28,109.42,109.23,111.19,112.71,113.61
"제분",133.00,133.00,133.00,133.00,133.00,133.00
"제분",133.00,133.00,133.00,133.00,133.00,133.00
"제당및전분",118.98,118.98,118.19,118.09,118.18,118.22
"정제당",116.60,116.60,116.60,116.60,116.60,116.60
"전분및당류",122.09,122.09,120.49,120.29,120.48,120.56
"떡,과자및면류",123.13,123.19,125.60,125.76,125.76,125.76
"떡,빵및과자류",123.50,123.58,125.35,125.35,125.35,125.35
"면류",121.08,121.08,125.46,126.08,126.08,126.08
"조미료및유지",138.72,139.79,143.05,142.63,142.94,144.63
"조미료및첨가용식품",137.36,138.91,144.16,142.85,143.30,146.00
"유지",143.08,143.08,142.04,143.56,143.56,143.08
"기타식료품",117.99,118.47,117.91,118.04,119.27,119.35
"과실및채소가공품",127.68,128.20,127.78,127.61,128.21,128.22
"커피및차류",121.44,121.44,121.44,121.51,121.72,123.78
"인삼및건강보조식품",103.25,103.25,103.22,102.35,103.87,103.75
"기타식료품",118.61,119.47,118.39,119.23,120.92,120.61
"사료",127.90,128.57,129.50,129.70,130.82,130.89
"사료",127.90,128.57,129.50,129.70,130.82,130.89
"음료품",116.46,116.19,116.15,117.17,118.51,118.51
"주류",115.14,115.14,115.14,115.75,117.21,117.21
"주정",119.71,119.71,119.71,119.71,119.71,119.71
"소주",110.16,110.16,110.16,110.16,110.16,110.16
"맥주",118.88,118.88,118.88,120.32,123.81,123.81
"기타주류",115.53,115.53,115.53,115.53,115.53,115.53
"비알콜음료및얼음",117.53,117.07,116.98,118.32,119.55,119.55
"비알콜음료및얼음",117.53,117.07,116.98,118.32,119.55,119.55
"담배",99.85,99.85,99.85,99.85,100.02,100.02
"담배",99.85,99.85,99.85,99.85,100.02,100.02
"담배",99.85,99.85,99.85,99.85,100.02,100.02
"섬유및가죽제품",114.32,114.43,114.66,114.50,114.38,114.54
"섬유및의복",115.93,116.05,116.31,116.12,115.97,116.15
"섬유사",121.46,121.90,124.29,123.64,121.85,121.26
"천연및화학섬유사",122.98,123.53,126.75,126.15,123.78,122.41
"기타섬유사",117.92,118.03,118.03,117.27,117.14,118.76
"섬유직물",111.54,111.46,109.10,108.78,108.79,110.76
"천연및화학섬유직물",111.11,111.47,107.76,107.64,107.64,110.27
"기타섬유직물",112.25,110.88,112.50,111.58,111.60,111.60
"직물제품",113.56,113.95,113.99,113.35,113.15,113.12
"직물제품",112.99,113.21,113.21,112.90,112.92,112.92
"부직포및펠트",106.30,106.30,106.30,106.08,106.08,106.08
"기타섬유제품",120.48,121.74,121.96,119.97,118.88,118.69
"의복제품",117.74,117.74,118.43,118.56,118.56,118.56
"봉제의류",118.66,118.66,119.42,119.54,119.54,119.54
"편조의류",116.39,116.39,116.39,117.27,117.27,117.27
"의복관련장신품",106.36,106.36,106.36,106.36,106.36,106.36
"가죽제품",104.02,104.01,104.03,104.15,104.15,104.15
"가죽제품",104.02,104.01,104.03,104.15,104.15,104.15
"가죽",115.54,115.54,115.54,115.08,115.08,115.08
"가방및핸드백",107.65,107.63,107.63,107.63,107.63,107.63
"신발",97.39,97.39,97.41,97.75,97.75,97.75
"목재및종이제품",123.75,123.65,123.14,122.91,122.79,122.78
"목재및목제품",122.29,122.60,123.74,122.81,123.14,122.90
"목재",122.06,122.72,124.15,122.12,122.84,122.31
"제재목",129.41,129.28,132.35,128.11,129.73,128.83
"합판",116.94,120.10,120.10,120.88,120.88,120.88
"강화및재생목재",111.30,111.39,111.07,110.71,110.40,110.13
"목제품",122.48,122.48,123.39,123.39,123.39,123.39
"건축용목제품",104.69,104.69,106.41,106.41,106.41,106.41
"목재용기및적재판",137.08,137.08,137.08,137.08,137.08,137.08
"펄프및종이제품",124.16,123.91,122.80,122.83,122.55,122.61
"펄프",144.39,163.54,168.88,151.01,139.27,139.27
"펄프",144.39,163.54,168.88,151.01,139.27,139.27
"종이류",116.69,115.67,112.45,114.02,113.33,113.75
"인쇄용지",120.16,119.90,119.23,119.25,119.02,119.02
"기타원지및판지",114.31,112.95,108.56,110.85,109.95,110.55
"종이제품",127.27,127.21,127.15,126.57,126.64,126.52
"골판지및골판지가공품",139.18,139.18,139.18,137.93,137.93,137.93
"종이용기",121.31,121.41,121.26,121.35,121.35,121.15
"종이문구및사무용지",116.95,116.91,117.06,117.03,116.98,116.98
"위생용종이제품",115.29,115.29,115.29,115.29,115.80,115.80
"기타종이제품",121.39,120.79,120.44,119.88,119.61,118.96
"석탄및석유제품",199.68,198.18,189.63,182.31,174.72,176.76
"석탄및석유제품",199.68,198.18,189.63,182.31,174.72,176.76
"석탄제품",123.96,123.96,123.96,121.71,121.71,121.71
"석탄코크스및석탄관련제품",145.82,145.82,145.82,140.61,140.61,140.61
"연탄",100.00,100.00,100.00,100.00,100.00,100.00
"원유정제처리제품",203.90,201.94,192.64,184.73,176.57,179.04
"나프타",212.05,202.40,194.28,171.54,163.81,165.93
"휘발유",204.78,203.39,191.58,188.11,180.67,185.65
"제트유",237.18,253.59,247.17,230.43,215.76,203.06
"등유",199.93,200.10,186.82,182.57,174.26,175.81
"경유",211.48,206.79,194.99,190.70,179.39,183.89
"중유",158.92,166.97,163.68,155.50,153.13,153.68
"액화석유가스",168.18,171.36,171.36,171.36,171.32,167.49
"윤활유및기타석유정제품",166.35,168.46,165.44,162.53,159.10,157.83
"윤활유및그리스",172.46,172.46,173.60,174.44,174.44,172.72
"기타석유정제제품",160.82,164.03,158.85,153.97,148.79,147.79
"화학제품",124.05,124.70,124.61,123.42,122.32,122.24
"기초화학물질",156.16,158.20,156.35,149.83,145.58,145.10
"기초유기화학물질",167.10,169.96,167.08,157.46,151.57,151.03
"지방족기초유분",157.03,161.52,160.77,149.84,139.49,137.00
"방향족기초유분",200.73,204.25,193.44,175.88,170.46,172.76
"석유화학중간제품",138.32,140.57,137.99,130.89,128.26,128.83
"기타기초유기화합물",160.34,160.73,163.19,162.06,159.26,157.52
"기초무기화학물질",126.30,126.54,126.96,127.16,126.51,126.18
"산업용가스",124.61,124.68,124.72,124.84,124.48,123.84
"기초무기화합물",126.40,126.85,128.66,129.02,128.39,128.39
"염료,안료및유연제",129.25,129.44,127.24,127.24,125.38,125.16
"합성수지및합성고무",123.04,124.13,124.57,123.74,121.81,120.39
"합성수지및합성고무",123.04,124.13,124.57,123.74,121.81,120.39
"합성수지",119.40,120.46,120.82,119.89,118.38,117.29
"합성고무",170.16,171.81,173.82,175.77,163.91,155.15
"화학섬유",130.17,130.17,128.15,128.15,127.32,127.32
"화학섬유",130.17,130.17,128.15,128.15,127.32,127.32
"화학섬유",130.17,130.17,128.15,128.15,127.32,127.32
"의약품",100.54,100.55,100.53,100.55,100.54,100.55
"의약품",100.54,100.55,100.53,100.55,100.54,100.55
"의약품",100.54,100.55,100.53,100.55,100.54,100.55
"비료및농약",121.80,121.80,121.80,122.25,122.25,122.24
"비료및농약",121.80,121.80,121.80,122.25,122.25,122.24
"비료및질소화합물",123.07,123.07,123.07,123.88,123.88,123.88
"살충제및농약",118.37,118.37,118.37,118.37,118.37,118.34
"기타화학제품",114.04,114.29,114.91,115.52,115.37,115.29
"도료및잉크",119.73,119.45,119.63,119.57,119.48,119.43
"도료",120.08,119.73,119.93,119.85,119.75,119.69
"잉크",116.63,116.69,116.73,116.86,116.86,116.86
"비누및화장품",108.85,108.93,109.00,108.80,108.79,108.55
"비누,세제및치약",119.32,119.52,119.76,119.35,119.35,118.66
"화장품",103.35,103.35,103.35,103.26,103.24,103.25
"기타화학제품",115.19,115.68,116.68,117.89,117.66,117.65
"접착제및젤라틴",123.41,123.41,123.41,123.41,123.41,123.41
"사진용화학제품및감광재료",123.71,123.71,123.71,123.71,123.71,123.71
"기타화학제품",113.30,113.86,115.04,116.43,116.17,116.16
"플라스틱제품",117.71,117.89,118.21,118.30,118.27,118.80
"플라스틱1차제품",121.82,121.77,121.77,121.77,121.69,121.69
"플라스틱1차제품",121.82,121.77,121.77,121.77,121.69,121.69
"기타플라스틱제품",116.95,117.17,117.56,117.65,117.64,118.25
"건축용플라스틱제품",116.20,116.38,117.06,117.07,117.07,117.05
"포장용플라스틱제품",135.59,136.68,137.18,137.21,137.21,137.73
"운송장비및조립용플라스틱제품",105.01,105.02,105.02,105.04,105.06,105.13
"기타플라스틱제품",121.13,121.05,121.88,122.22,122.13,124.09
"고무제품",116.37,117.02,117.80,118.04,117.53,117.57
"타이어및튜브",118.80,118.80,120.30,121.08,120.88,120.88
"타이어및튜브",118.80,118.80,120.30,121.08,120.88,120.88
"기타고무제품",115.18,116.13,116.58,116.58,115.92,115.97
"산업용고무제품",116.03,116.85,117.37,117.37,116.89,116.95
"기타고무제품",108.52,110.23,110.23,110.23,108.52,108.52
"비금속광물제품",129.25,129.09,128.09,128.68,128.54,128.47
"유리및유리제품",111.61,111.61,111.50,111.46,111.46,111.34
"유리및유리제품",111.61,111.61,111.50,111.46,111.46,111.34
"판유리및1차유리제품",106.82,106.82,106.82,106.82,106.82,106.82
"전자기기용유리제품",99.63,99.63,99.63,99.63,99.63,99.63
"산업용유리제품(전자기기용제외)",116.28,116.27,116.08,116.00,116.00,115.79
"기타유리제품",129.55,129.55,129.56,129.56,129.56,129.56
"기타비금속광물제품",133.68,133.48,132.27,133.02,132.84,132.77
"도자기및요업제품",130.81,130.65,130.57,130.25,130.25,131.08
"가정용도자기",152.34,152.34,152.34,152.34,152.34,153.50
"산업용도자기",139.75,139.10,138.75,138.75,138.75,138.75
"내화요업제품",125.08,125.08,125.08,124.15,124.15,124.15
"건설용비내화요업제품",110.58,110.58,110.58,110.58,110.58,113.58
"시멘트",158.94,158.94,158.94,158.41,157.88,157.88
"시멘트",158.94,158.94,158.94,158.41,157.88,157.88
"콘크리트제품",132.21,132.32,129.92,130.13,129.92,130.37
"레미콘",138.65,138.62,134.34,134.31,133.74,133.74
"콘크리트제품",119.46,119.82,121.01,121.69,122.15,123.46
"기타비금속광물제품",125.73,124.75,125.39,128.33,128.33,126.69
"석회및석고제품",124.04,124.04,126.40,129.71,129.71,129.47
"석제품",106.09,106.09,106.09,106.09,106.09,106.09
"연마재",109.24,109.24,109.24,109.24,109.24,109.24
"아스콘및아스팔트제품",152.54,149.10,149.10,155.17,155.17,149.24
"기타비금속광물제품",108.93,108.64,109.21,111.53,111.53,111.31
"1차금속제품",138.22,138.70,140.23,139.40,138.59,138.65
"철강1차제품",131.56,131.09,132.06,131.66,131.52,131.57
"선철및조강",138.17,134.29,138.52,133.86,132.62,130.98
"선철",141.50,141.50,141.50,142.49,142.49,142.49
"합금철",133.27,134.10,134.38,134.24,129.32,125.56
"조강",134.25,126.18,134.01,125.13,126.84,126.84
"열간압연강재",130.78,130.75,131.74,132.04,133.08,133.22
"철근및봉강",138.25,137.67,138.34,139.85,141.28,141.66
"형강",131.77,132.13,133.85,134.99,135.35,135.35
"선재및궤조",120.85,120.87,122.78,122.49,123.29,123.91
"중후판(두께3mm이상)",126.97,126.56,126.50,126.85,132.60,132.60
"열연강판",126.70,127.21,129.94,129.55,129.50,129.50
"강선",128.21,127.96,128.04,127.87,127.54,127.59
"철강관",133.40,133.58,133.58,133.22,133.15,133.15
"냉간압연강재",139.90,140.22,141.05,140.74,138.41,138.51
"냉간압연강재",139.90,140.22,141.05,140.74,138.41,138.51
"기타철강1차제품",129.90,128.71,129.16,127.86,125.98,126.09
"표면처리강재",133.78,129.31,128.86,128.27,126.01,125.27
"기타철강1차제품",126.20,128.21,129.53,127.56,126.04,126.97
"비철금속괴및1차제품",156.69,159.38,162.72,160.47,157.97,158.02
"비철금속괴",167.06,169.93,174.62,172.32,169.93,169.57
"동제련,정련및합금제품",180.56,186.27,195.75,183.39,183.52,185.58
"알루미늄제련,정련및합금제품",167.10,169.23,172.06,168.78,168.73,167.37
"연및아연제련,정련및합금제품",148.53,144.40,145.92,144.87,136.50,133.45
"금은괴",188.95,200.46,208.10,220.30,217.17,218.79
"기타비철금속제련,정련및합금제품",137.37,137.37,137.37,137.37,137.37,137.37
"비철금속1차제품",145.27,147.78,149.91,147.78,145.24,145.60
"동1차제품",155.83,158.88,161.86,159.70,157.58,158.44
"알루미늄1차제품",138.12,140.30,141.42,138.40,134.90,134.84
"기타비철금속1차제품",142.69,144.60,147.13,147.14,145.64,145.62
"금속주물",128.40,129.66,129.66,129.96,129.13,129.22
"금속주물",128.40,129.66,129.66,129.96,129.13,129.22
"금속주물",128.40,129.66,129.66,129.96,129.13,129.22
"금속가공제품",135.89,135.83,136.34,136.31,136.02,135.91
"금속가공제품",135.89,135.83,136.34,136.31,136.02,135.91
"구조용금속제품및탱크",157.40,157.37,158.42,158.42,158.23,157.83
"건축용금속제품",161.03,160.76,161.37,161.37,161.37,160.82
"금속제탱크및압력용기",140.54,140.54,145.59,145.59,145.59,145.40
"산업용보일러및증기발생기",140.41,141.25,141.25,141.25,140.24,140.24
"금속단조,야금및압형제품",112.90,112.99,113.03,112.39,111.81,112.14
"금속단조및야금제품",115.47,115.74,115.88,115.73,113.96,114.93
"금속압형제품",111.24,111.24,111.24,110.36,110.36,110.36
"기타금속가공제품",128.90,128.68,128.99,129.31,129.10,129.02
"가정용금속제품",132.15,132.15,132.15,132.15,132.15,132.15
"부착용금속제품",131.30,131.30,133.19,133.01,132.63,132.40
"공구류",123.94,123.94,123.94,123.94,123.94,123.94
"나사및철선제품",124.63,123.88,123.88,124.08,124.08,124.22
"금속포장용기",133.15,133.54,133.54,135.28,135.28,134.87
